Movie_Name,Storyline
Celestina: Burlesk Dancer,"Set in the Philippines during the 1940's, Celestina is a story about a woman, a burlesk dancer, who struggles to provide for her family while her husband is a gambling and womanizing drunkard. Despite the hardships, Celestina perseveres and finds strength in her love for her son."
Buzzheart,"Driven by deep concern for their fragile daughter, her parents subject her boyfriend to shockingly intense and brutal tests, pushing the boundaries of his love to its absolute limits."
A Vintage Christmas,"Sparks fly when a developer, Noah (Russell) arrives in Oak Creek with plans to replace an abandoned Post Office with a modern office complex and needs to work with Tessa (Patterson) the town's historian/preservationist to compromise."
PT Sir,It follows a young teacher as he attempts to introduce unique physical activities to school children.
Dandupalayam,Based on the infamous criminal gang that murdered countless individuals.
Ghost Trail,"Hamid joins a secret group tracking Syrian war criminals on the run. His mission takes him to Strasbourg, pursuing his former torturer for a fateful confrontation."
Kifn,"Teenage Peri's arranged marriage faces troubles. To resolve issues, she revisits family archives from when relatives recorded memories in 2000s Sulaimani after her mother's early death."
Slime,"Mona, a baker's daughter, feels trapped by her controlling father Adon. New employee Lina ignites Mona's desires. Adon has contrasting plans for Mona. Torn between duty and passion, Mona must decide her future path."
Puang Bos!,"A father's love relationship with his only child is often hit by problems, plus the ups and downs of a love story."
It's a Good Day to Die,A fugitive gangster falling for a beguiling go-go dancer triggers a pulse-pounding spiral of unexpected twists and betrayals.
Bila Esok Ibu Tiada,"The story of 4 children who are starting to get busy with their own lives. Small problems always become big conflicts. Their mother, whose heart is broken, is confused about what to do. She just misses the laughter and harmony like before."
Do You See What I See,"On her birthday, Mawar's dream, who was lonely and only accompanied by her boarding house friends, came true about the partner she dreamed of. However, after finding this partner, Mawar's behavior became increasingly strange."
Camp Pleasant Lake,"A couple breathes life into a new camp on an old campsite, connecting them to a chilling past that unravels a 20-year-old mystery involving a missing young girl. As eerie events unfold, they must confront forces tied to a brutal crime."
El Heredero,A family in serious debt trouble find themselves between an abusive creditor and a nephew with a large inheritance.
Given the Movie: Hiiragi Mix,Hiiragi Mix takes place after the events of the Eiga Given and is mainly focused on the relationship between Mafuyu's childhood friends Hiiragi Kashima and Shizusumi Yagi.
A Killer in the House,"When a psycho killer becomes obsessed with a beautiful girl, he does everything he can to win her over, including killing everybody in his way. This is a study of a psycho killer, his prey, and how far he is willing to go."
Devo,"In 1980, new wave band Devo scored a hit with ""Whip It"" and gained mainstream success with their message of societal ""de-evolution"", formed in response to the 1970 Kent State shootings."
The Last Ronin,"In a post-apocalyptic world ravaged by nuclear war and climate disaster, survivors navigate scorched lands and ruined cities. With technology failing and fuel useless, ammunition becomes the new currency of a desperate civilization."
Face Off 7: One Wish,"When a 73-year-old widow is forced to depend on the care of her 5 busy adult children after an injury, she begins to question the meaning of family love."
Concerto for Abigail,A pianist confronts progressive hearing loss as she falls for someone new. She must decide whether to shut herself off or let her love in and face the challenge together
Electra,A journalist and his female companion travel to interview a famous musician in Rome where a generous invite to a country estate becomes something much more than anyone expected.
Invited,"When a reluctant mother attends her daughter's Zoom elopement, she and the rest of the family in attendance quickly realize the groom is part of a Russian cult with deadly intentions."
Angelo dans la forêt mystérieuse,"It follows Angelo, a ten year old who dreams of becoming an explorer and a zoologist. When he goes to visit his granny, his parents leave him behind at a rest stop, and he decides to cut through the forest in search of them."
Shepherds,"A young Montreal advertising executive, converted to a Provençal shepherd, has various misadventures with a civil servant who has cavalierly quit her job."
Niki,"Follows Saint-Phalle while she is modeling and striving to be an actor. She's married and has a daughter who is two years old. They left the United States during the harsh McCarthy era and travel to France, where they briefly feel elated."
Shabab Albomb,"Amer discovers a magical lizard in the desert that brings him luck, forcing him to choose between protecting it or selling out to those who want to exploit its powers."
The Burden of Nine Lives,"After witnessing his two closest cousins executed during a black market sale gone wrong, Jimmy Diaz, barely surviving the trap himself, dedicates his repeated chances at life to seeking vengeance."
